judul,berita,emiten
"IHSG Menguat Pada Jumat (24/6) Pagi, Sektor Infrastruktur Memimpin",dua saham yang diburu yaitu pt bank rakyat indonesia tbk (bbri) dan pt bank mandiri tbk (bmri) dengan nilai pembelian bersih masing-masing sebesar rp 65 miliar dan rp 57 miliar.,"['bbri', 'bmri']"
"IHSG Menguat Pada Jumat (24/6) Pagi, Sektor Infrastruktur Memimpin","sementara itu, saham yang paling banyak dilepas adalah pt bank central asia tbk (bbca) dan pt telkom indonesia (persero) tbk (tlkm) dengan nilai penjualan bersih masing-masing sebesar rp 231 miliar dan rp 179 miliar.","['bbca', 'tlkm']"
"IHSG Menguat Pada Jumat (24/6) Pagi, Sektor Infrastruktur Memimpin","""adapun agenda rupst tanggal 14 juli 2022 masih sesuai dengan informasi yang telah kami sampaikan dalam keterbukaan informasi di ojk-idx,"" jelasnya.",['buka']
"IHSG Menguat Pada Jumat (24/6) Pagi, Sektor Infrastruktur Memimpin","net buy saham brms melampaui pt bank rakyat indonesia tbk (bbri) yang menempati urutan kedua terbesar, rp 65 miliar.",['bbri']
"IHSG Menguat Pada Jumat (24/6) Pagi, Sektor Infrastruktur Memimpin",sedang di tempat ketiga ada saham pt perusahaan gas negara tbk (pgas) yang mencatat net buy rp 36 miliar.,['pgas']
"IHSG Menguat Pada Jumat (24/6) Pagi, Sektor Infrastruktur Memimpin","4. laba bumn meroket, bank mandiri sumbang rp 28,03 t pemulihan ekonomi indonesia mulai terlihat seiring meningkatnya kinerja bumn pada 2021. sepanjang tahun lalu, bumn mencatat total laba sebesar rp 126 triliun meningkat 869% dibandingkan 2020. salah satu kontributor laba besar bumn, yakni pt bank mandiri tbk (bmri) senilai rp 28,03 triliun secara konsolidasi.",['bmri']
"IHSG Menguat Pada Jumat (24/6) Pagi, Sektor Infrastruktur Memimpin","bmri mencatatkan laba sebesar rp 12,1 triliun, tumbuh 78,1% secara year on year (yoy) per akhir april 2022.",['bmri']
"Saham SMGR, ADRO, dan MNCN Jadi Pendorong Indeks Bisnis-27 Melaju","selain itu, bursa memastikan keterbukaan informasi secara simetris dan berimbang kepada pelaku pasar dan investor.",['buka']
"Saham SMGR, ADRO, dan MNCN Jadi Pendorong Indeks Bisnis-27 Melaju","""koreksi dalam di pasar saham tentunya bukan kali pertama ini terjadi,.",['buka']
"Saham SMGR, ADRO, dan MNCN Jadi Pendorong Indeks Bisnis-27 Melaju","saham-saham yang masuk top gainers antara lain: -saham fpni melambung 19,05 persen -saham esta melambung 16,76 persen -saham brms melambung 16,67 persen -saham bbhi melambung 15,62 persen -saham dewa melambung 15,38 persen saham-saham yang masuk top losers antara lain: -saham hdfa merosot 6,99 persen -saham indy merosot 6,99 persen -saham bssr merosot 6,94 persen -saham tebe merosot 6,94 persen -saham puri merosot 6,93 persen saham-saham yang dibeli investor asing antara lain: -saham bbri senilai rp 65,5 miliar -saham bmri senilai rp 57 miliar -saham pgas senilai rp 32,8 miliar -saham mdka senilai rp 28,3 miliar -saham excl senilai rp 18, 3 miliar saham-saham yang dijual investor asing antara lain: -saham bbca senilai rp 231,6 miliar -saham tlkm senilai rp 179,4 miliar -saham bbni senilai rp 92,8 miliar -saham asii senilai rp 72,4 miliar -saham ctra senilai rp 46,5 miliar sebelumnya, bursa saham amerika serikat (as) atau wall street reli pada perdagangan rabu, 15 juni 2022 setelah bank sentral as atau the federal reserve (the fed) menaikkan suku bunga 75 basis poin, kenaikan terbesar sejak 1994. hal itu mengisyaratkan the fed dapat menaikkan suku bunga dengan besaran yang sama pada juli, memberikan kepercayaan investor kalau the fed berkomitmen menekan inflasi.","['bbri', 'bmri', 'pgas', 'mdka', 'excl', 'bbca', 'tlkm', 'bbni', 'asii']"
IHSG Bergerak Konsisten Menghijau di Awal Sesi,"oleh karenanya, ia mengklaim, dalam proses transformasi digital bank dengan kode emiten bmri itu tidak akan melakukan pengurangan tenaga kerja.",['bmri']
IHSG Bergerak Konsisten Menghijau di Awal Sesi,"""jadi fungsinya bukan yang kaya teller atau customer service, tapi lebih kepada advisor, cross selling, teman-teman kita akan karyakan lebih menjual lagi,"" ucapnya.",['buka']
Simak Rekomendasi Saham Syariah 24 Juni 2022,"jasnita telekomindo akuisisi 45,45 persen saham ph1 innovax liputan6.com, jakarta - pt jasnita telekomindo tbk (jast) mengambilalih 45,45 persen saham ph1 innovax pte ltd pada 15 juni 2022. mengutip keterbukaan informasi ke bursa efek indonesia (bei), ditulis kamis (16/6/2022), manajemen jasnita telekomindo menyatakan transaksi ini diharapkan dapat mendukung kinerja perseroan di bidang call center dan memperluas pangsa pasar jast.",['buka']
Simak Rekomendasi Saham Syariah 24 Juni 2022,"dengan transaksi ini diprediksi dapat meningkatkan income sebesar rp 1,5 miliar-rp 2 miliar.",['inco']
Simak Rekomendasi Saham Syariah 24 Juni 2022,"saham-saham yang masuk top gainers antara lain: -saham fpni melambung 19,05 persen -saham esta melambung 16,76 persen -saham brms melambung 16,67 persen -saham bbhi melambung 15,62 persen -saham dewa melambung 15,38 persen saham-saham yang masuk top losers antara lain: -saham hdfa merosot 6,99 persen -saham indy merosot 6,99 persen -saham bssr merosot 6,94 persen -saham tebe merosot 6,94 persen -saham puri merosot 6,93 persen saham-saham yang dibeli investor asing antara lain: -saham bbri senilai rp 65,5 miliar -saham bmri senilai rp 57 miliar -saham pgas senilai rp 32,8 miliar -saham mdka senilai rp 28,3 miliar -saham excl senilai rp 18, 3 miliar saham-saham yang dijual investor asing antara lain: -saham bbca senilai rp 231,6 miliar -saham tlkm senilai rp 179,4 miliar -saham bbni senilai rp 92,8 miliar -saham asii senilai rp 72,4 miliar -saham ctra senilai rp 46,5 miliar","['bbri', 'bmri', 'pgas', 'mdka', 'excl', 'bbca', 'tlkm', 'bbni', 'asii']"
"Prediksi IHSG Menguat, Analis Rekomendasikan Deretan Saham Berikut","gelar rupst, unvr tebar dividen final rp 84 per saham dan rombak direksi jakarta, kompas.com – pt unilever indonesia tbk (unvr) bakal membagikan dividen final sebesar rp 84 per saham.","['unvr', 'unvr']"
"Prediksi IHSG Menguat, Analis Rekomendasikan Deretan Saham Berikut","selain menetapkan dividen, unvr juga menyetujui perombakan jajaran direksi perseroan.",['unvr']
"Prediksi IHSG Menguat, Analis Rekomendasikan Deretan Saham Berikut","ira mengatakan, jajaran direksi yang baru merupakan eksekutif-eksekutif berpengalaman luas di bidangnya, dan telah mencetak sederet pencapaian dalam berbagai posisi senior selama berkarir, bukan hanya di indonesia, namun juga di tingkat regional dan global.ira menjelaskan, inovasi dan agility menjadi kunci dalam membangun bisnis agar terus berkembang dan relevan ditengah begitu banyaknya perubahan.",['buka']
"Prediksi IHSG Menguat, Analis Rekomendasikan Deretan Saham Berikut","“kami yakin bahwa komposisi jajaran direksi yang diresmikan hari ini bukan hanya akan membawa gagasan dan ide segar, tetapi juga akan membawa peluang baru bagi perseroan untuk terus menjadi yang terdepan dalam menumbuhkan bisnis yang kompetitif, berkelanjutan, serta bertanggung jawab,” tutup ira.","['mika', 'buka']"
"Hore, IHSG Dibuka Terkerek 24,27 Poin Jelang Akhir Pekan","kenaikan laba unilever indonesia (unvr) jadi sorotan, direksi beri penjelasan bisnis.com , jakarta — kenaikan laba bersih pt unilever indonesia tbk.",['unvr']
"Hore, IHSG Dibuka Terkerek 24,27 Poin Jelang Akhir Pekan",( unvr ) sempat menjadi sorotan karena dinilai tidak murni didorong oleh kenaikan kinerja operasional.,['unvr']
"Hore, IHSG Dibuka Terkerek 24,27 Poin Jelang Akhir Pekan",manajemen unvr memastikan laporan keuangan perseroan telah disampaikan sesuai dengan ketentuan yang berlaku.,['unvr']
"Hore, IHSG Dibuka Terkerek 24,27 Poin Jelang Akhir Pekan",nilzon capital dalam risetnya pada mei 2022 memperkirakan laba per saham unvr bisa lebih rendah karena karena penundaan pengakuan beban dan margin laba kotor yang tergerus secara signifikan.,['unvr']
"Hore, IHSG Dibuka Terkerek 24,27 Poin Jelang Akhir Pekan",performa unvr juga cenderung tertinggal dibandingkan dengan sister companies di grup unilever di negara lain.,['unvr']
"Hore, IHSG Dibuka Terkerek 24,27 Poin Jelang Akhir Pekan",presiden dan principal advisor nilzon capital frizon akbar putra mengemukakan pihaknya mendapati bahwa beban biaya jasa dan enterprise solution service (ets) hilang dari laporan keuangan kuartal i/2022 unvr .,['unvr']
"Hore, IHSG Dibuka Terkerek 24,27 Poin Jelang Akhir Pekan",biaya ini sejatinya dilaporkan secara konsisten oleh unilever dan dibayarkan ke pihak afiliasi unilever europe business center b.v. “kami menemukan hal yang sangat menarik dari laporan keuangan unvr pada kuartal i/2022 yang baru saja terbit.,['unvr']
"Hore, IHSG Dibuka Terkerek 24,27 Poin Jelang Akhir Pekan","kenaikan laba sebesar 19,03 persen yoy ternyata hampir seluruhnya bukan disebabkan oleh kesuksesan operasional, melainkan karena hilangnya beban biaya jasa dan ets secara mendadak dari laporan keuangan,” kata frizon.",['buka']
"Hore, IHSG Dibuka Terkerek 24,27 Poin Jelang Akhir Pekan","di dalam risetnya, nilzon capital menyebut kenaikan laba unvr sebesar rp323 miliar ternyata hampir seluruhnya dikontribusikan oleh “hilangnya” beban biaya jasa dan ets kepada pihak terafiliasi sebesar rp337 miliar.",['unvr']
"Hore, IHSG Dibuka Terkerek 24,27 Poin Jelang Akhir Pekan","direktur customer operation unvr enny hartati memastikan ketiadaan beban biaya jasa dan ets dalam laporan keuangan kuartal i/2022 tidak disebabkan oleh penundaan pencatatan, melainkan imbas dari penyesuaian kebijakan unilever global.",['unvr']
"Hore, IHSG Dibuka Terkerek 24,27 Poin Jelang Akhir Pekan","dalam perjanjian ets dengan unilever europe business center b.v. (uebc), pembayaran prospektif yang dilakukan unvr dihitung dari biaya aktual yang dikeluarkan oleh uebc dalam memberikan layanan ets atau biaya aktual dengan mark-up 5 persen.",['unvr']
"Hore, IHSG Dibuka Terkerek 24,27 Poin Jelang Akhir Pekan",dia juga menjelaskan pertumbuhan kinerja unvr pada 2021 cenderung lebih rendah dibandingkan dengan perusahaan seinduk ( sister company ) di negara lain.,['unvr']
"Hore, IHSG Dibuka Terkerek 24,27 Poin Jelang Akhir Pekan","sekarang sedang kami monitor dekat dengan global, unvr maupun induk sama-sama memperketat efisiensi di biaya.",['unvr']
"Hore, IHSG Dibuka Terkerek 24,27 Poin Jelang Akhir Pekan","dalam laporan keuangan, unvr melaporkan pertumbuhan laba bersih mencapai 19,02 persen secara tahunan menjadi rp2,02 triliun pada kuartal i/2022 dari rp1,69 triliun pada periode yang sama di tahun sebelumnya.",['unvr']
"Hore, IHSG Dibuka Terkerek 24,27 Poin Jelang Akhir Pekan","pada pengungkapan yang ada di laporan keuangan unvr, tercatat tarif ‘biaya jasa dan ets’ yang dibebankan kepada unvr untuk dibayarkan kepada perusahaan terafiliasi adalah sebanyak-banyaknya sebesar 3 persen dari total penjualan setahun kepada pihak ketiga untuk biaya jasa dan ditambah 1 persen dari penjualan bersih domestik tahunan untuk biaya ets.","['unvr', 'unvr']"
"Hore, IHSG Dibuka Terkerek 24,27 Poin Jelang Akhir Pekan","jumlah tersebut dihitung berdasarkan perkalian antara persentase historis aktual dari tarif biaya jasa dan ets selama kuartal ii—kuartal iii/2021 sebesar 3,89 persen dengan penjualan yang berhasil dibukukan oleh unvr pada kuartal i/2022 sebesar rp10,83 triliun.",['unvr']
"Prospek Reli di Sektor Infrastruktur, Indo Premier: IHSG Bakal Menguat di Akhir Pekan","duo emiten grup salim indf dan icbp agendakan rups, bakal tebar dividen?","['indf', 'icbp']"
"Prospek Reli di Sektor Infrastruktur, Indo Premier: IHSG Bakal Menguat di Akhir Pekan",( indf ) dan pt indofood cbp sukses makmur tbk.,['indf']
"Prospek Reli di Sektor Infrastruktur, Indo Premier: IHSG Bakal Menguat di Akhir Pekan",( icbp ) akan mengadakan rapat umum pemegang saham tahunan (rupst) dan rups luar biasa (rupslb) pada jumat (22/7/2022).,['icbp']
"Prospek Reli di Sektor Infrastruktur, Indo Premier: IHSG Bakal Menguat di Akhir Pekan","dalam keterbukaan informasi bursa efek indonesia (bei), manajemen indf dan icbp mengatakan, rupst akan diselenggarakan di sudirman plaza, indofood tower pukul 10.00 wib untuk icbp dan pukul 14.00 wib untuk indf.","['buka', 'indf', 'icbp', 'icbp', 'indf']"
"Prospek Reli di Sektor Infrastruktur, Indo Premier: IHSG Bakal Menguat di Akhir Pekan","indf dan icbp menyampaikan, rapat akan diselenggarakan secara fisik dengan pembatasan jumlah kehadiran dan juga secara elektronik dengan menggunakan fasilitas electronic general meeting system ksei.","['indf', 'icbp']"
"Prospek Reli di Sektor Infrastruktur, Indo Premier: IHSG Bakal Menguat di Akhir Pekan","sebelumnya, pada 2021 lalu kedua emiten ini menebar dividen dengan total rp4,94 triliun dari laba bersih 2020. rinciannya, icbp menebar dividen senilai total rp2,5 triliun atau setara rp215 per saham.",['icbp']
"Prospek Reli di Sektor Infrastruktur, Indo Premier: IHSG Bakal Menguat di Akhir Pekan","sementara itu, indf memberikan dividen sebesar total rp2,44 triliun atau setara rp278 per saham.",['indf']
"Prospek Reli di Sektor Infrastruktur, Indo Premier: IHSG Bakal Menguat di Akhir Pekan","adapun selama 2021, icbp mencatatkan pendapatan sebesar rp56,8 triliun, tumbuh 22 persen dari rp46,64 triliun secara tahunan atau year on year (yoy).",['icbp']
"Prospek Reli di Sektor Infrastruktur, Indo Premier: IHSG Bakal Menguat di Akhir Pekan","sementara itu, induk grup indofood, indf mencatatkan penjualan bersih sebesar rp99,35 triliun sepanjang 2021, tumbuh 22 persen dari rp81,73 triliun dibanding tahun 2020. laba bersih perseroan pun meningkat 18 persen menjadi rp7,64 triliun di 2021, dari rp6,46 triliun di 2020. bergabung dan dapatkan analisis informasi ekonomi dan bisnis melalui email anda.",['indf']
"Tech Corner Indo Premier: Buliish Tipis, IHSG Tatap Target Kenaikan","bni (bbni) berikan fasilitas kredit senilai rp350 miliar kepada sariguna (cleo) bisnis.com, jakarta — pt bank negara indonesia (persero) tbk.",['bbni']
"Tech Corner Indo Premier: Buliish Tipis, IHSG Tatap Target Kenaikan",( bbni ) memberikan fasilitas kredit kepada pt sariguna primatirta tbk.,['bbni']
"Tech Corner Indo Premier: Buliish Tipis, IHSG Tatap Target Kenaikan","perjanjian kredit tersebut telah ditandatangani pada 13 juni 2022. berdasarkan keterbukaan informasi di bursa efek indonesia (bei), rabu (15/6/2022), emiten industri air minum dalam kemasan itu menerima dua jenis fasilitas kredit, yaitu kredit modal kerja sebesar rp100 miliar dan term loan senilai rp250 miliar dengan jangka waktu yang berbeda.",['buka']
"BRI Danareksa Sekuritas: IHSG Cenderung Naik, Cermati MAIN, PWON, dan TLKM","ihsg ditutup melemah sore ini, asing ramai lepas saham bbca dan tlkm jakarta, kompas.com – indeks harga saham gabungan (ihsg) berakhir merah pada penutupan perdagangan sesi ii di bursa efek indonesia (bei), rabu (15/6/2022).","['bbca', 'tlkm']"
"BRI Danareksa Sekuritas: IHSG Cenderung Naik, Cermati MAIN, PWON, dan TLKM","net sell asing tertinggi dicatatkan oleh bank central asia (bbca) sebesar rp 227,6 miliar.",['bbca']
"BRI Danareksa Sekuritas: IHSG Cenderung Naik, Cermati MAIN, PWON, dan TLKM","bbca ditutup turun 1,01 persen menjadi rp 7.325 per saham.",['bbca']
"BRI Danareksa Sekuritas: IHSG Cenderung Naik, Cermati MAIN, PWON, dan TLKM","kemudian telkom indonesia (tlkm) juga mencatatkan aksi jual bersih sebesar rp 179,5 miliar.",['tlkm']
"BRI Danareksa Sekuritas: IHSG Cenderung Naik, Cermati MAIN, PWON, dan TLKM","tlkm melemah 1,2 persen di level rp 4.060 per saham.saham yang menahan indeks dipimpin oleh adaro minerals (admr) yang ambles 6,8 persen menjadi rp 1.850 per saham.",['tlkm']
"BRI Danareksa Sekuritas: IHSG Cenderung Naik, Cermati MAIN, PWON, dan TLKM","kemudian, adaro energy (adro) turun 6,7 persen menjadi rp 3.040 per saham, dan harum energy (hrum) terkoreksi 6,6 persen pada posisi rp 1.885 per saham.","['adro', 'hrum']"
"BRI Danareksa Sekuritas: IHSG Cenderung Naik, Cermati MAIN, PWON, dan TLKM","kemudian, elang mahkota teknology (emtk) naik 7,01 persen pada level rp 1.755 per saham, dan bukalapak (buka) di posisi rp 278 per saham atau menguat 2,9 persen.","['emtk', 'buka', 'buka']"
"BRI Danareksa Sekuritas: IHSG Cenderung Naik, Cermati MAIN, PWON, dan TLKM","kurs referensi jakarta interbank spot dollar rate (jisdor), rupiah berada pada level rp 14.746 per dollar as pada rabu (15/6/2022), atau melemah dibandingkan sebelumnya di level rp 14.729 per dollar as.disclaimer: artikel ini bukan untuk mengajak membeli atau menjual saham.",['buka']
"Akhir Pekan IHSG Rawan Koreksi, Cermati ADMR, UNVR, MAPI","ihsg melemah 0,61 persen (43 poin) ke level 7.007. indeks lq45 -0,53% ke 1.014 indeks idx30 -0,53% ke 542. indeks idx80 -0,70% ke 142. jakarta islamic indeks (jii) -1,25% ke 578. indeks kompas100 -0,96% ke 1.220. indeks sri kehati -0,70% ke 398. indeks sminfra18 -0,96% ke 309. saham top gainers lq45: emtk , buka , tpia , bbri , unvr , bmri , smgr .","['emtk', 'buka', 'tpia', 'bbri', 'unvr', 'bmri', 'smgr']"
"Akhir Pekan IHSG Rawan Koreksi, Cermati ADMR, UNVR, MAPI","saham top losers lq45: antm , icbp , klbf , mika , medc , eraa , pgas .","['antm', 'icbp', 'klbf', 'mika', 'medc', 'eraa', 'pgas']"
"Akhir Pekan IHSG Rawan Koreksi, Cermati ADMR, UNVR, MAPI",bursa eropa saham eropa diperkirakan dibuka lebih tinggi pada hari rabu karena pasar global menunggu keputusan kebijakan moneter terbaru dari federal reserve as.,['buka']
"IHSG Rawan Dihujani Aksi Profit Taking, Cermati Empat Saham Ini","ihsg ditutup melemah sore ini, asing ramai lepas saham bbca dan tlkm jakarta, kompas.com – indeks harga saham gabungan (ihsg) berakhir merah pada penutupan perdagangan sesi ii di bursa efek indonesia (bei), rabu (15/6/2022).","['bbca', 'tlkm']"
"IHSG Rawan Dihujani Aksi Profit Taking, Cermati Empat Saham Ini","net sell asing tertinggi dicatatkan oleh bank central asia (bbca) sebesar rp 227,6 miliar.",['bbca']
"IHSG Rawan Dihujani Aksi Profit Taking, Cermati Empat Saham Ini","bbca ditutup turun 1,01 persen menjadi rp 7.325 per saham.",['bbca']
"IHSG Rawan Dihujani Aksi Profit Taking, Cermati Empat Saham Ini","kemudian telkom indonesia (tlkm) juga mencatatkan aksi jual bersih sebesar rp 179,5 miliar.",['tlkm']
"IHSG Rawan Dihujani Aksi Profit Taking, Cermati Empat Saham Ini","tlkm melemah 1,2 persen di level rp 4.060 per saham.saham yang menahan indeks dipimpin oleh adaro minerals (admr) yang ambles 6,8 persen menjadi rp 1.850 per saham.",['tlkm']
"IHSG Rawan Dihujani Aksi Profit Taking, Cermati Empat Saham Ini","kemudian, adaro energy (adro) turun 6,7 persen menjadi rp 3.040 per saham, dan harum energy (hrum) terkoreksi 6,6 persen pada posisi rp 1.885 per saham.","['adro', 'hrum']"
"IHSG Rawan Dihujani Aksi Profit Taking, Cermati Empat Saham Ini","kemudian, elang mahkota teknology (emtk) naik 7,01 persen pada level rp 1.755 per saham, dan bukalapak (buka) di posisi rp 278 per saham atau menguat 2,9 persen.","['emtk', 'buka', 'buka']"
"IHSG Rawan Dihujani Aksi Profit Taking, Cermati Empat Saham Ini","kurs referensi jakarta interbank spot dollar rate (jisdor), rupiah berada pada level rp 14.746 per dollar as pada rabu (15/6/2022), atau melemah dibandingkan sebelumnya di level rp 14.729 per dollar as.disclaimer: artikel ini bukan untuk mengajak membeli atau menjual saham.",['buka']
"IHSG Berpeluang Menguat Terbatas Pada Jumat (24/6), Saham Berikut Menarik Dilirik","rups unilever putuskan dividen jumbo dan rombak direksi, saham unvr terbang bisnis.com , jakarta — saham pt unilever indonesia tbk.",['unvr']
"IHSG Berpeluang Menguat Terbatas Pada Jumat (24/6), Saham Berikut Menarik Dilirik",(unvr) terbang setelah rapat umum pemegang saham (rups) tahunan memutuskan adanya pembagian dividen dan merombak direksi.,['unvr']
"IHSG Berpeluang Menguat Terbatas Pada Jumat (24/6), Saham Berikut Menarik Dilirik","pada penutupan perdagangan rabu (15/6/2022), saham unvr naik 1,27 persen atau 60 poin menjadi rp4.800.",['unvr']
"IHSG Berpeluang Menguat Terbatas Pada Jumat (24/6), Saham Berikut Menarik Dilirik","sepanjang sesi, saham unvr bergerak di rentang rp4.690-rp4.810.",['unvr']
"IHSG Berpeluang Menguat Terbatas Pada Jumat (24/6), Saham Berikut Menarik Dilirik","total transaksi saham unvr mencapai rp113,31 miliar.",['unvr']
"IHSG Berpeluang Menguat Terbatas Pada Jumat (24/6), Saham Berikut Menarik Dilirik","peningkatan saham unvr tak lepas dari rencana perseroan membagikan dividen jumbo sekitar rp3,2 triliun dan pengangkatan direksi baru dalam rups.",['unvr']
"IHSG Berpeluang Menguat Terbatas Pada Jumat (24/6), Saham Berikut Menarik Dilirik","unvr tercatat memperoleh laba bersih rp5,76 triliun atau rp151 per saham untuk tahun buku 2021. laba ini turun 19,61 persen dibandingkan dengan 2020. unvr telah membagikan dividen interim rp66 per saham pada 16 desember 2021. dengan demikian, dividend payout ratio (dpr) untuk tahun buku 2021 mencapai 99,3 persen.","['unvr', 'unvr']"
"IHSG Berpeluang Menguat Terbatas Pada Jumat (24/6), Saham Berikut Menarik Dilirik","sebagai upaya penguatan organisasi, rups tahunan unvr mengubah jajaran kepemimpinan senior dengan mengangkat sejumlah direktur.",['unvr']
"IHSG Berpeluang Menguat Terbatas Pada Jumat (24/6), Saham Berikut Menarik Dilirik",jajaran direksi unvr yang baru diangkat adalah: amaryllis esti wijono sebagai direktur kategori nutrition.,['unvr']
"IHSG Berpeluang Menguat Terbatas Pada Jumat (24/6), Saham Berikut Menarik Dilirik","“kami yakin bahwa komposisi jajaran direksi yang diresmikan hari ini bukan hanya akan membawa gagasan dan ide segar, tetapi juga akan membawa peluang baru bagi perseroan untuk terus menjadi yang terdepan dalam menumbuhkan bisnis yang kompetitif, berkelanjutan, serta bertanggung jawab,” kata ira.","['mika', 'buka']"
"BNI Sekuritas: IHSG Rawan Profit Taking, Cermati Saham Pilihan ADMR, JPFA, UNVR dan MAPI","analis: pergerakan ihsg dibayangi isu reshuffle kabinet jokowi republika.co.id, jakarta -- indeks harga saham gabungan (ihsg) melanjutkan pelemahannya pada pembukaan perdangan sesi kedua hari ini, rabu (15/6/2022).",['buka']
"BNI Sekuritas: IHSG Rawan Profit Taking, Cermati Saham Pilihan ADMR, JPFA, UNVR dan MAPI","tingginya inflasi as dan akan agresifnya the fed menaikkan ffr bukan hanya berdampak atas tajamnya kejatuhan indeks djia tetapi juga berdampak atas naiknya yield obligasi as segala tenor khususnya tenor 10 tahun yang saat ini sudah mendekati level 3,5 persen.",['buka']
"BNI Sekuritas: IHSG Rawan Profit Taking, Cermati Saham Pilihan ADMR, JPFA, UNVR dan MAPI","pada awal perdagangan sesi kedua hari ini, adro telah jatuh sebesar 6,75 persen, disusul inco yang terpangkas 5,21 persen.","['adro', 'inco']"
"BNI Sekuritas: IHSG Rawan Profit Taking, Cermati Saham Pilihan ADMR, JPFA, UNVR dan MAPI",ptba dan itmg masing-masing terkoreksi sebesar 4 persen.,"['ptba', 'itmg']"
"IHSG Diprediksi Tembus 7.000, Saham Pilihan Ini Wajib Disimak","ihsg melemah di sesi i perdagangan, asing lepas saham bbca dan tlkm jakarta, kompas.com – indeks harga saham gabungan (ihsg) melemah pada penutupan sesi i perdagangan di bursa efek indonesia (bei), rabu (15/6/2022).","['bbca', 'tlkm']"
"IHSG Diprediksi Tembus 7.000, Saham Pilihan Ini Wajib Disimak","aksi jual bersih (net sell) asing tertinggi dicatatkan oleh bank central asia (bbca) sebesar rp 122,2 miliar.",['bbca']
"IHSG Diprediksi Tembus 7.000, Saham Pilihan Ini Wajib Disimak","bbca turun 1,3 persen di level rp 7.300 per saham.",['bbca']
"IHSG Diprediksi Tembus 7.000, Saham Pilihan Ini Wajib Disimak","kemudian, telkom indonesia (tlkm) juga mencatatkan net sell tertinggi setelah bbca sebesar rp 101 miliar.","['tlkm', 'bbca']"
"IHSG Diprediksi Tembus 7.000, Saham Pilihan Ini Wajib Disimak","tlkm siang ini turun 1,7 persen menjadi rp 4.040 per saham.",['tlkm']
"IHSG Diprediksi Tembus 7.000, Saham Pilihan Ini Wajib Disimak","kemudian, adaro energy (adro) melemah 6,7 persen di level rp 3.040 per saham, dan harum energy (hrum) yang terkoreksi 6,6 persen pada posisi rp 1.885 per saham.","['adro', 'hrum']"
"IHSG Diprediksi Tembus 7.000, Saham Pilihan Ini Wajib Disimak","kemudian, elang mahkota teknologi (emtk) di posisi rp 1.685 per saham atau naik 2,7 persen.",['emtk']
"IHSG Diprediksi Tembus 7.000, Saham Pilihan Ini Wajib Disimak","selain itu, hm sampoerna (hmsp) juga naik 1,8 persen di level rp 1.080 per saham.",['hmsp']
"IHSG Diprediksi Tembus 7.000, Saham Pilihan Ini Wajib Disimak",disclaimer: artikel ini bukan untuk mengajak membeli atau menjual saham.,['buka']
Bahana Sekuritas Daily Market Update Jumat (24 /06/ 2022),"hasil rups unilever indonesia (unvr), dividen final rp84 per saham, total rp3,2 triliun bisnis.com , jakarta — pt unilever indonesia tbk.",['unvr']
Bahana Sekuritas Daily Market Update Jumat (24 /06/ 2022),(unvr) akan membagikan dividen final sebesar rp84 per saham.,['unvr']
Bahana Sekuritas Daily Market Update Jumat (24 /06/ 2022),"“rupst tahunan telah menyepakati penggunaan laba bersih tahun buku 2021, termasuk pembagian dividen final sebesar rp84 per saham,” kata presiden direktur unvr ira noviarti dalam paparan publik.",['unvr']
Bahana Sekuritas Daily Market Update Jumat (24 /06/ 2022),"unvr tercatat memperoleh laba bersih rp5,76 triliun atau rp151 per saham untuk tahun buku 2021. laba ini turun 19,61 persen dibandingkan dengan 2020. unvr telah membagikan dividen interim rp66 per saham pada 16 desember 2021. dengan demikian, dividend payout ratio (dpr) untuk tahun buku 2021 mencapai 99,3 persen.","['unvr', 'unvr']"
Bahana Sekuritas Daily Market Update Jumat (24 /06/ 2022),"“kami yakin bahwa komposisi jajaran direksi yang diresmikan hari ini bukan hanya akan membawa gagasan dan ide segar, tetapi juga akan membawa peluang baru bagi perseroan untuk terus menjadi yang terdepan dalam menumbuhkan bisnis yang kompetitif, berkelanjutan, serta bertanggung jawab,” kata ira.","['mika', 'buka']"
"Akhir Pekan Rawan Profit Taking, Cermati Saham ADMR, JPFA, UNVR dan MAPI","duo saham boy thohir admr & adro terpuruk bisnis.com , jakarta - indeks harga saham gabungan ( ihsg ) terpantau melemah pada perdagangan sesi pertama hari ini, rabu (15/6/2022) akibat investor yang bertaruh menjelang keputusan rapat federal reserve soal kenaikan suku bunga.",['adro']
"Akhir Pekan Rawan Profit Taking, Cermati Saham ADMR, JPFA, UNVR dan MAPI","investor asing tercatat menjual saham pt bank central asia tbk (bbca) sebesar rp122,2 miliar, atau yang terbanyak sejauh ini.",['bbca']
"Akhir Pekan Rawan Profit Taking, Cermati Saham ADMR, JPFA, UNVR dan MAPI","menyusul di belakangnya adalah pt telkom indonesia (persero) tbk (tlkm) senilai rp101 miliar dan pt bank negara indonesia tbk (bbni) sebesar rp48,1 miliar duo saham emiten batu bara milik boy thohir masuk ke tops losers.","['tlkm', 'bbni']"
"Akhir Pekan Rawan Profit Taking, Cermati Saham ADMR, JPFA, UNVR dan MAPI","(adro) ambles 6,75 persen.",['adro']
